2022/09/13 09:52:09 [emerg] 16120#18744: CreateFile() "E:\2022新版课程\苍穹外卖项目\授课资料\day01\资料\前端运行环境\nginx-1.20.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2024/04/28 20:48:59 [error] 19832#16528: *69 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewDishes HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewDishes", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:59 [error] 19832#16528: *75 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewOrders HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewOrders", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:59 [error] 19832#16528: *76 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/businessData HTTP/1.1", upstream: "http://localhost/admin/workspace/businessData", host: "localhost", referrer: "http://localhost/"
2024/05/02 23:01:03 [error] 32704#32760: *34 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "POST /api/employee HTTP/1.1", upstream: "http://[::1]:8080/admin/employee", host: "localhost", referrer: "http://localhost/"
2024/05/04 22:38:22 [error] 25188#18888: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/employee/login HTTP/1.1", upstream: "http://[::1]:8080/admin/employee/login", host: "localhost", referrer: "http://localhost/"
2024/05/04 22:38:24 [error] 25188#18888: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/employee/login HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/employee/login", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:13 [error] 22600#17664: *27 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://[::1]:8080/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:13 [error] 22600#17664: *26 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/employee/page?page=1&pageSize=10 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/employee/page?page=1&pageSize=10", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:13 [error] 22600#17664: *26 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/employee/page?page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/admin/employee/page?page=1&pageSize=10", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:14 [error] 22600#17664: *31 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/jaxwrabgvip HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/jaxwrabgvip", host: "localhost"
2024/05/12 07:58:14 [error] 22600#17664: *26 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10&status=2 HTTP/1.1", upstream: "http://localhost/admin/order/conditionSearch?page=1&pageSize=10&status=2", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:14 [error] 22600#17664: *29 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/businessData HTTP/1.1", upstream: "http://localhost/admin/workspace/businessData", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:14 [error] 22600#17664: *26 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewOrders HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewOrders", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:14 [error] 22600#17664: *29 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewDishes HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewDishes", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:14 [error] 22600#17664: *26 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewSetmeals HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewSetmeals", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:15 [error] 22600#17664: *27 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:25 [error] 22600#17664: *26 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:25 [error] 22600#17664: *29 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/businessData HTTP/1.1", upstream: "http://localhost/admin/workspace/businessData", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:25 [error] 22600#17664: *34 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewOrders HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewOrders", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:25 [error] 22600#17664: *35 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewDishes HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewDishes", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:25 [error] 22600#17664: *36 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewSetmeals HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewSetmeals", host: "localhost", referrer: "http://localhost/"
2024/05/12 07:58:27 [error] 22600#17664: *27 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10&status=2 HTTP/1.1", upstream: "http://[::1]:8080/admin/order/conditionSearch?page=1&pageSize=10&status=2", host: "localhost", referrer: "http://localhost/"
